,Regulatory Gene,Target Gene,weight
249,ZNF419,IRF1,0.0211106733927011
250,ZBTB4,NFATC3,0.0211002245672976
251,ZNF274,HOXB2,0.0210965138384539
252,ZNF549,TOPORS,0.0210882196598146
253,ZNF24,TCFL5,0.0210623163015527
254,ATF2,JUND,0.0210555757025205
255,TFCP2,ZNF324B,0.0210543941277036
256,ZNF79,RORA,0.0210404265908696
257,KLF8,NR1D2,0.0210058415343583
258,STAT6,KLF6,0.0209814755595406
259,ZXDC,NCOA2,0.0209730784159037
260,AKAP8L,MXD3,0.0209522528248384
261,ZNF121,ZNF790,0.020938451145199
262,NCOA2,ZNF564,0.0209335722447354
263,JUNB,RELA,0.0209105038912178
264,ZNF483,CENPBD1,0.0209063770995805
265,ZNF318,STAT2,0.0209006865303729
266,TFCP2,ZBTB45,0.0208843638858
267,ETS1,KLF13,0.020845975896849
268,ZNF514,CENPB,0.0208412634571209
269,E2F2,KLF6,0.0207898100655015
270,ZNF675,ZNF800,0.0207354880786513
271,JUNB,BCL11A,0.0207352807971037
272,ZNF559,YBX1,0.0207283490543199
273,ZBTB10,ELF1,0.0207132396056171
274,ZNF549,ZNF721,0.0207043432083441
275,ZKSCAN1,DNTTIP1,0.0206780537554912
276,ZFP69B,TFAP2E,0.0206667842726801
277,ZNF610,ZNF691,0.0206471855012694
278,REL,ZNF233,0.020636150897033
279,KLF11,TCFL5,0.0206323469631373
280,ZNF234,UBP1,0.0206268027197938
281,ATF2,ZNF436,0.0206207252474252
282,HIVEP2,ZNF33A,0.0206106866491075
283,HIVEP1,FLI1,0.0205729665623896
284,ZNF581,CSRNP1,0.0205447913683596
285,ZNF551,ZNF385C,0.0205230714118232
286,ZNF337,FOXO4,0.0205087477853662
287,ZNF528,CIC,0.0205059175987393
288,ZNF107,HHEX,0.0205034094177959
289,ZBTB7B,ZNF395,0.0204634743541775
290,BAZ2B,SKIL,0.0204567403970191
291,MXD1,CEBPD,0.0204335835952978
292,ATF2,ZNF394,0.0204150915569631
293,THAP7,ZNF581,0.0204021422219106
294,SP110,ZNF641,0.0203806217142839
295,IRF9,KLF13,0.0203800435269265
296,ZNF737,LEF1,0.020316875381945
297,ZBTB7A,ZNF267,0.0203012546807744
298,ZNF148,NRF1,0.0202956531864036
299,ZNF568,ZBTB1,0.0202869448333357
300,NCOA2,SRCAP,0.020285644391413
301,ZNF202,KLF5,0.0202719508527718
302,FOXJ2,HMG20A,0.0202571215531664
303,ATF5,ZBTB32,0.0202467699560586
304,IKZF3,ZBTB7A,0.0202350800177599
305,ATMIN,TCFL5,0.0202115364314935
306,ZHX2,SKOR1,0.0202114673944779
307,THYN1,YBX3,0.0201834758955411
308,ZKSCAN8,ZNF367,0.0201834229911001
309,FLI1,BHLHE40,0.0201538301926898
310,ARNT,ZNF776,0.0201355868629342
311,MAF,ZIK1,0.0201327914978603
312,CENPX,SP140,0.0201260516770182
313,ZNF100,KLF9,0.0200544885128632
314,ZNF217,UBP1,0.0200474973697831
315,ZNF41,ZBTB11,0.0200438541996814
316,ZNF318,PBX2,0.0200400471850689
317,STAT6,FOS,0.0200364079490532
318,ZNF625,NCOA2,0.0200323468310482
319,ZBTB42,HSF1,0.020013525184339
320,ZNF318,SPEN,0.0200076772161759
321,KLF12,ZNF580,0.0199794301574818
322,IRF5,SPIB,0.0199388939110658
323,ZXDC,YBX3,0.0199367506927118
324,HIVEP2,BAZ2A,0.0199355617934705
325,SNAI3,EGR3,0.0199234762484109
326,SPIB,ZBTB10,0.0199209484952798
327,NFXL1,MYCL,0.0199184548429786
328,ZNF689,ZNF30,0.0199159678147806
329,KLF8,E2F6,0.0198858595881568
330,ETS1,ZNF827,0.0198687739335477
331,ZNF507,TFAP2E,0.0198561008781895
332,KLF2,BATF3,0.0198484342356003
333,MYB,ZNF544,0.0198423668922517
334,MBD1,ZNF441,0.0198412432189347
335,ZNF675,THYN1,0.0198369106021453
336,NR4A1,SKI,0.0198175769232645
337,FOXN3,ZNF180,0.0198123817622788
338,ZNF217,JUND,0.0198023063299025
339,ZBTB7A,CDC5L,0.0197790805349054
340,ZNF217,KLF5,0.0197675130820079
341,MYCL,ZNF667,0.0197561417356139
342,FIZ1,ZMAT1,0.0197465494994175
343,MBD1,BAZ2A,0.0196819917700965
344,ZNF225,ZNF394,0.0196505158010778
345,CXXC5,EGR2,0.0196391996446218
346,KLF8,YBX1,0.0196103049889023
347,ZNF43,SOX12,0.0195625348314405
348,IKZF3,ZNF107,0.0195557319372039
349,ZNF154,ZNF544,0.0195491139836191
350,RBSN,ETV3,0.019548027608208
351,HIVEP2,SPEN,0.0195372466796093
352,ZKSCAN1,HIVEP2,0.0195361353139753
353,ZNF225,ZNF322,0.0195299606053967
354,KLF6,CSRNP1,0.0195279410777217
355,LEF1,KDM2B,0.0195179035744916
356,NCOA2,KLF12,0.0194959601422624
357,CREB3L2,HMGA1,0.0194753055119202
358,HMGA1,ZBTB32,0.0194596683992042
359,NR1H2,IRF1,0.0194545385407389
360,ZNF487,ZNF317,0.0194464600080789
361,DRAP1,PURB,0.01941686340141
362,ZKSCAN1,MBD6,0.0194073722853135
363,E2F5,ANKZF1,0.0193875127461348
364,SON,ZNF264,0.0193874075478152
365,ZNF24,ZBTB11,0.0193833456254082
366,HIF1A,SETDB2,0.0193815669092127
367,KDM5B,FOXP1,0.0193765064907868
368,ZNF318,NME2,0.0193739581015555
