"","regulatory.gene","target.gene","weight"
"192","IRF9","ZNF207",0.0222076931263094
"193","ZBTB43","E2F3",0.022189852386889
"194","ZBTB6","KDM2B",0.0221824679797216
"195","TFDP1","GLMP",0.0221390455948787
"196","RELB","E2F4",0.0221162123642042
"197","POU2F1","PHF1",0.0221045049291726
"198","ZNF891","ZNF776",0.0220947227291589
"199","TBPL1","ZNF140",0.022094291580446
"200","POU2AF1","EGR3",0.0220869645229832
"201","ZNF268","ZNF586",0.0220795997822443
"202","NCOA3","ZNF787",0.022017550548567
"203","SP110","ARID5A",0.0220118653585363
"204","CTCF","MYCN",0.0219691761292542
"205","ZNF831","CENPA",0.0219264199454823
"206","ZNF253","UBP1",0.0219066657243881
"207","ZNF623","ADNP",0.0218997363178955
"208","ZNF718","ARNT",0.0218690394085622
"209","ZNF174","ZNF431",0.0218465352788913
"210","NFXL1","GLMP",0.0218448544219267
"211","STAT1","CSRNP1",0.0218292925360241
"212","JUNB","HSF1",0.0218236501725766
"213","ZNF101","MAFB",0.0217949813625193
"214","CHCHD3","ZFP64",0.021769023846423
"215","PURA","JUND",0.0217031154526473
"216","ZNF675","MBNL2",0.0216893805596869
"217","ZNF718","ZXDC",0.0216774222283863
"218","ZIK1","ZNF329",0.0216707964927508
"219","ZFP82","PRRX2",0.0216265454088047
"220","MEF2C","ZXDC",0.021623729077092
"221","HIVEP2","NFX1",0.0216068370298152
"222","TCFL5","RBPJ",0.021531310689507
"223","IKZF3","KLF15",0.021515680486992
"224","E2F1","MYCL",0.0215142296957795
"225","FOXO3","E2F2",0.0214491589844074
"226","MYB","TCF7L2",0.0214407331733745
"227","NFATC3","ZNF791",0.0213663573253576
"228","ZNF852","JRKL",0.0213663350568368
"229","ZNF814","DDIT3",0.0213399611790603
"230","ATF4","DBP",0.0213347728684426
"231","NCOA3","THAP11",0.0213247883416449
"232","SATB1","ZNF814",0.0213075746313288
"233","TSHZ1","MEF2B",0.0212747486311314
"234","KLF2","BATF3",0.0212715254751913
"235","KLF15","ZNF229",0.0212698100854908
"236","ZNF574","E2F6",0.0212620719917724
"237","KLF12","MYB",0.0212436589186831
"238","ZNF107","CXXC5",0.0212420224478151
"239","ZNF830","REXO4",0.021232649026919
"240","ZNF428","CEBPG",0.0211994195331412
"241","TRAFD1","NR4A3",0.0211776017812796
"242","ZNF510","EGR2",0.0211623795243089
"243","ZNF852","ZNF655",0.0211440155756696
"244","ARID5B","ZMAT1",0.0210660079596856
"245","GTF2I","ZNF407",0.0210176060633686
"248","JUNB","ZNF444",0.0210057266131888
"249","POU2AF1","EGR2",0.0209878628021667
"250","ZBTB45","ATF5",0.0209522582521084
"251","FOXJ2","HMG20A",0.0209223084653713
"252","CREB3L2","NR4A2",0.0209220762133793
"253","KMT2A","MTERF3",0.020891215752615
"254","RBPJ","NFE2L1",0.0208901751663978
"255","E2F7","POU5F1",0.0208768257197094
"257","ZNF14","PRDM2",0.0208536509426321
"258","ZFAT","ZNF595",0.0208493220906493
"259","ZNF675","ELF1",0.0208428168496485
"260","ZNF445","ZNF408",0.0208107545443623
"261","ZBTB7A","E2F3",0.0207929054045725
"262","ZBTB4","HIVEP3",0.0207883060347744
"263","NFATC3","CENPA",0.0207853739668383
"264","ZNF585B","ZNF813",0.0207722884027851
"265","NCOA2","HMBOX1",0.0207540813334578
"266","ETS1","MEF2A",0.0207436932258297
"267","ZNF576","ZFX",0.0207194399010799
"268","ZBTB43","ZNF300",0.0206871515875516
"269","CEBPD","ZNF251",0.0206509515829671
"270","ZNF675","ZFP91",0.0205910981757285
"271","ZXDC","TCFL5",0.0205807884631757
"272","ZNF101","MYCL",0.0205759201815967
"274","ZNF664","SMYD3",0.0205507777077823
"275","ZNF671","ZNF248",0.020546655874645
"277","KLF6","VENTX",0.0205362469333163
"278","MYCL","BCL6",0.0205328741690924
"279","ETS1","DRAP1",0.0205212137857249
"280","LCOR","ZNF254",0.0205187426059841
"281","ZNF184","ZNF781",0.0205142420208541
"283","ZFP3","EGR3",0.0204924584015581
"284","IKZF3","ATF2",0.0204853544792013
"285","ATF2","ZNF101",0.0204109614026175
"286","SKIL","CEBPD",0.0204013691147153
"287","ATMIN","ZNF551",0.0203855698495786
"288","MAZ","PAX8",0.020375142044937
"289","ZNF277","ZNF595",0.0203745818188234
"290","TSC22D1","NKX6-3",0.0203662886056457
"291","RBCK1","MAFG",0.0203371740778089
"292","ZNF831","LCORL",0.0203249968023949
"293","ZNF609","KLF2",0.0203111692271049
"294","ELF2","VENTX",0.0203087646973247
"295","HIC2","ZNF623",0.0202910544252341
"296","DDIT3","ZNF581",0.0202797713192083
"297","AEBP1","SP1",0.0202335230394843
"298","MBD4","HIF1A",0.0202189436773859
"299","MXD1","SETDB2",0.020216764047758
"300","ZBTB5","SETDB2",0.0201808607609437
"301","ZNF568","ZBTB10",0.0201799147449612
"302","MXI1","VENTX",0.0201679435218123
"303","RREB1","ZNF329",0.02015878409461
"304","ZNF821","ATF3",0.0201420890033259
"305","ZNF165","CREM",0.0201358969442038
"306","ATMIN","ZNF8",0.0201304290010221
"307","VEZF1","ETV3",0.0201292712597614
"308","SNAPC5","SLC2A4RG",0.0201281305001367
"309","ZFP91","POU2AF1",0.0201209167969419
"310","TEF","ZNF595",0.0201198576050418
"311","ZBTB32","SP1",0.0201160071441807
"312","MEF2D","ARID3A",0.0200764086046476
"313","SNAPC5","ZNF221",0.0200588970816756
"314","PLAGL1","HOXB2",0.0200428101858601
"315","FOXP1","ZFY",0.0200406545940644
"316","RFX3","ZNF880",0.0200377828437277
"317","GPBP1","NR3C1",0.0200306173483483
"318","CEBPB","ZNF581",0.0200230169931161
"319","ZNF326","ZSCAN25",0.0200207106574977
"320","EPAS1","MAF",0.0200067817916394
"321","JUNB","ZNF580",0.0199847775223651
"322","MEF2C","ELF1",0.0199831478199373
"325","ZBTB32","ATF5",0.0199560878463717
"326","IKZF3","USF2",0.019945147348699
"327","PRDM10","ZNF358",0.0199348734973634
"328","ETS1","VEZF1",0.0199157825650222
"329","ZNF211","IRF5",0.0199144339359623
"330","EGR2","SNAI3",0.0199137746661858
"331","ZXDB","ZNF558",0.0199052027004289
"332","ZBTB10","CLOCK",0.0199022637383048
"333","ZNF681","ZNF358",0.0198926986015698
"334","ZNF416","XBP1",0.0198809824651191
"335","ZNF217","ZFPM1",0.0198573765697313
"336","IRF1","ZNF207",0.0198447057088391
"337","IRF1","KLF13",0.019835190615411
"338","SPIB","RBPJ",0.0198337516678565
"339","CEBPD","CSRNP1",0.0198317530419953
"340","ZFP1","TBX21",0.0198201319012002
"341","ZXDC","GLMP",0.019779026086597
"342","ZNF195","ZNF182",0.0197609528436527
"343","EPAS1","RARA",0.0197443205241372
"344","ZNF16","ZFP14",0.019722229548479
"345","ZNF225","NR4A1",0.0196685310147184
"346","HOMEZ","CENPBD1",0.0196505548648725
"347","ZNF804A","ARNT",0.0196391712589229
"348","JUNB","ZNF579",0.0196172723093599
"349","KLF6","CSRNP1",0.019611280031767
"350","ZFP3","EGR1",0.0195954261250497
"351","TRAFD1","KLF6",0.0195862850979562
"352","ZNF266","EGR3",0.0195741866268613
"353","ZNF574","ZNF83",0.0195294114916728
"354","ELF2","FOXJ3",0.0195200576287642
"355","GPBP1","CEBPD",0.0195135436191308
"356","RORA","SNAI3",0.0195093941742045
"358","ZNF787","E2F5",0.0195093270505282
"359","MEF2D","HMGA1",0.0195000579083486
"360","MEF2C","ZNF544",0.0194873852884552
"361","RBAK","ZNF285",0.0194829188591211
"362","GTF2I","MTERF4",0.0194802973666659
"363","ZNF248","MLXIP",0.0194511305074447
"364","ZNF280D","CTCF",0.0194366508977562
"365","ZNF766","MXD3",0.0194149430514688
"366","IKZF3","ZNF428",0.0194117046916858
"367","SNAPC5","FEZF2",0.0194043268821043
"368","ZNF681","ARNT",0.0193621404470564
"369","MEF2C","FOXJ3",0.0193498159822916
"370","ZNF184","CEBPD",0.0193223861289555
"371","ZNF385C","HMGA1",0.0193142717471596
"372","ELF2","ARID2",0.0193057921940902
"373","ZNF304","ZNF879",0.0193026517840363
"374","JUNB","VENTX",0.0192993699425925
"375","MAFK","ZNF710",0.0192672075016751
"376","ZNF217","DDIT3",0.0192644356065232
"377","ZNF706","KDM2A",0.0192450291951879
"378","ZNF300","ZNF471",0.0192182000487389
"379","ZNF718","ZNF292",0.0191985631615462
"380","HIVEP1","TFEB",0.0191872946704017
"381","ZBTB25","MBD2",0.0191863211801381
"382","NR3C1","RARA",0.019140062888017
"383","ZNF160","EGR3",0.0191399453627504
"384","ZNF691","ZNF14",0.0191339107740938
"385","ZBTB7A","ZNF844",0.0191305933971122
"386","ZNF718","TCF4",0.019123390990782
"387","AEBP1","ZNF814",0.0191154144478401
"388","AKAP8L","E2F2",0.0191144798087448
"390","LEF1","TCF3",0.019034426519567
"391","MAFB","TCFL5",0.0190332170907578
"392","MEF2C","BAZ2A",0.019033000307056
"393","TGIF1","ZNF823",0.0190088445385565
"394","ZNF619","ZNF449",0.018987941956456
"395","PURB","ZNF300",0.0189663861165064
"396","SNAPC5","THAP4",0.0189622069152445
"397","EGR2","MYCN",0.0189542869361992
"398","TCFL5","TP73",0.0189490739792173
"400","HSF1","ZNF608",0.0189196534398292
"401","KLF7","PRRX2",0.0189163977818314
